id,name,darreichung,status,verweis,artikelnummer,pharmacode,ean,abgabekategorie,zulassungsnummer,csl
563,Mercurius vivus naturalis D10,Tropfen zum Einnehmen 50 ml,Lieferbar,,205600,5125700,7611916146930,FM / SL,,2069734
564,Mercurius vivus naturalis D15,Tropfen zum Einnehmen 50 ml,Lieferbar,,124869,5125746,7611916146954,FM / SL,,2069734
565,Mercurius vivus naturalis D30,Injektionslösung (s.c.) 8 Amp.,Lieferbar,,124291,4137919,7611916151224,B / SL,59614,8x2070677
566,Mercurius vivus naturalis D30,Tropfen zum Einnehmen 50 ml,Lieferbar,,205604,5125769,7611916146978,FM / SL,,2069800
567,Mesurette / Messlöffel,,Lieferbar,,9969,,,,,
569,Mezereum D4,Tropfen zum Einnehmen 50 ml,Lieferbar,,205607,5125806,7611916147005,FM / SL,,2069674
570,Millefolium (Herba) 10%,Crème 25 g,Lieferbar,,100314,5034044,7611916137457,FM / nach ALT,,
571,Minium D6,Pulver zum Einnehmen 50 g,Lieferbar,,124695,5125858,7611916147050,FM / nach ALT,,
572,Mixtura Stanni comp.,Tropfen zum Einnehmen 50 ml,Lieferbar,,125409,1035849,7611916162541,FM / SL,,2070329
573,Mucilago Levistici D3,Tropfen zum Einnehmen 50 ml,Lieferbar,,205615,5125870,7611916147081,FM / SL,,2069674
574,Myrrha comp. D8,Tropfen zum Einnehmen 50 ml,Lieferbar,,124813,1034257,7611916162978,FM / SL,,2070329
575,Myrrha comp. D10,Tropfen zum Einnehmen 50 ml,Lieferbar,,206072,1034098,7611916162961,FM / SL,,2070370
576,Naja comp.,Injektionslösung 8 Amp.,Lieferbar,,112003,4141588,7611916112874,B / SL,404635,8x2070602
577,Nasturtium Mercurio cultum 1%,Tropfen zum Einnehmen 50 ml,Lieferbar,,205622,5126421,7611916147159,FM / SL,,2069591
580,Neurodoron®,Tabletten 80 st,Lieferbar,,4030,6682236,7680621890032,D / -,62189,
581,Neurodoron®,Tabletten 200 st,Lieferbar,,4032,6682242,7680621890049,D / -,62189,
582,Nontronit D6,Pulver zum Einnehmen 50 g,Lieferbar,,205625,5136081,7611916147180,FM / nach ALT,,
583,Nontronit D12,Pulver zum Einnehmen 50 g,Gestrichen (Lieferbar: D15),,205626,5126438,7611916147197,,,
584,Nontronit D15,Injektionslösung (s.c.) 8 Amp.,Lieferbar,,124272,4141594,7611916151026,B / SL,59973,8x2070654
585,Nux vomica D3,Tropfen zum Einnehmen 50 ml,Lieferbar,,205627,5136112,7611916147203,FM / SL,,2069674
586,Nux vomica D4,Injektionslösung 8 Amp.,Lieferbar,,112028,4141631,7611916113154,B / SL,59757,8x2070631
587,Nux vomica D6,Globuli 4 g,Lieferbar,,100396,1119595,7611916164170,FM / SL,,2069645
588,Nux vomica D6,Tropfen zum Einnehmen 50 ml,Lieferbar,,206029,1008646,7611916162510,FM / SL,,2069674
589,Nux vomica comp.,Tropfen zum Einnehmen 50 ml,Lieferbar,,124502,5059593,7611916153532,D / SL,414912,2070329
